word,corr_type,r_child_surprisal,p_child_surprisal,r_child_attention,p_child_attention,r_surprisal_attention,p_surprisal_attention,child_L,child_k,child_x0,child_b,surprisal_L,surprisal_k,surprisal_x0,surprisal_b,attention_L,attention_k,attention_x0,attention_b
baby,spearman,-0.4116050722092559,1.403921031882813e-09,-1.0,0.0,0.41160507220925585,1.403921031882813e-09,1.2912993136139495,-3.6532258043232577,-0.1706356307430106,-0.3348866207668924,207894.96948390492,602.7179502589702,-0.01809564507495215,12.327695670027783,343.34736118399684,9.556279061882313,-1.0116221158819907,0.014274245697495113
ball,spearman,-0.24250560864494577,0.0005404946266333874,-1.0,0.0,0.2425056086449458,0.0005404946266333867,0.3655177103563006,-6.2913058267473545,0.06545811872357475,0.5944702994894073,321330.188434582,1836.6433517081516,-0.005845309393703823,8.981134980650086,1246.9697177118949,12.226534216319914,-0.908228958671088,0.011858626409852895
banana,spearman,-0.6211931237726522,9.85031630699015e-23,-1.0,0.0,0.6211931237726522,9.85031630699015e-23,0.7574959528804296,-4.220465352239603,0.12592799001467408,0.2136277652439943,169528.55254507923,245.03385278013403,-0.04282914304177193,11.600677727050725,796.4836674452512,11.463970535731251,-0.9205325966597788,0.012170782566725763
book,spearman,-0.24250560864494577,0.0005404946266333874,-1.0,0.0,0.2425056086449458,0.0005404946266333867,0.9128225964769754,-3.7231309711599354,0.003103518607322449,0.04659179678332209,378648.44737347786,1892.2760821089023,-0.005717921319900441,8.60225368603769,1761.819914673712,10.718942637897376,-1.0538119563589474,0.011846460638234947
bye,spearman,-0.17234120963168803,0.014675759295957184,-1.0,0.0,0.17234120963168803,0.014675759295957184,1.077342593681895,-3.77204074515669,-0.28180791985516856,-0.1125606388309286,2.747177927794961,12683.869167769655,0.005094986335942366,14.931928384273913,595.7188148104137,17.463833142198567,-0.5826639076256376,0.009798579150531374
dog,spearman,-0.31838582606384347,4.33656683597912e-06,-1.0,0.0,0.31838582606384347,4.33656683597912e-06,0.3719627143628972,-4.795649387017753,0.3350967699631098,0.5982317573926033,8.439574349714004,1134.412296515139,0.00039003422187340733,10.439924584765228,725.46254816283,9.461591757207366,-1.1145177266141266,0.01241610347192273
hi,spearman,0.4704418485725119,2.0797419696297368e-12,-1.0,0.0,-0.47044184857251187,2.0797419696297586e-12,0.35786998192124064,-5.773851245545752,0.4012459971852386,0.5830609591290714,12546.265147660471,-371.7051031369975,-0.02118196145877137,-12524.856783620831,740.7184633133589,9.80111045599885,-1.0682768925382982,0.01739969702071738
no,spearman,-0.21054478912503558,0.002766966030485559,-1.0,0.0,0.21054478912503558,0.002766966030485559,0.733407136050769,-4.138536728137249,-0.018907153617705744,0.23485794842164037,12560.691161346294,3337.8458544038904,-0.0022183765884163306,7.837406097654115,1086.580046680381,15.039350770036885,-0.7153483277518009,0.015724791317569816
shoe,spearman,-0.4273202137321925,2.779496134918233e-10,-1.0,0.0,0.4273202137321925,2.779496134918233e-10,1.8594829491604363,-3.7771415321868065,-0.2685895136199267,-0.9016001022547755,0.6017580358669121,1124.9954519255375,0.0343237674070613,16.164464626453245,699.9550600396313,11.262061191957061,-0.9606069466109792,0.012108442772092344
car,spearman,-0.21054478912503558,0.002766966030485559,-1.0,0.0,0.21054478912503558,0.002766966030485559,1.345006144791127,-3.842025589870344,-0.051294641134974665,-0.3693810876472912,35578.10126312906,2666.9081599850488,-0.0032469192574520844,9.529491373040191,1997.2574725074307,25.528714133676463,-0.4466043394191237,0.013477005144698002
eye,spearman,-0.4116050722092559,1.403921031882813e-09,-1.0,0.0,0.41160507220925585,1.403921031882813e-09,0.7716757149243524,-5.19465534643211,0.17667278048007348,0.17862054012282053,1328432.4970971416,630.6237517246825,-0.01886882182836753,6.412377174915504,958.415448151685,9.74224209973814,-1.1336512337255515,0.011057800612761886
meow,spearman,-0.662186501126425,1.305146089717081e-26,-1.0,0.0,0.662186501126425,1.305146089717081e-26,0.68224044517225,-4.7644883481377125,0.18491092156410557,0.2625593207996421,739945.3828899119,207.02096659364994,-0.05374532426347452,19.837125099955024,1512.3584321433561,22.840642713537186,-0.4845794559340655,0.012740857649432322
nose,spearman,-0.4423190490511672,5.4711370514784254e-11,-1.0,0.0,0.4423190490511672,5.4711370514784254e-11,1.0859377568087163,-4.037470552674172,0.02676234683431625,-0.1353839322563679,258325.01113683058,549.2058015192742,-0.020134898075066746,12.102526283361861,433.2633755115092,11.321574476255327,-0.8895175226609597,0.011728288618410139
apple,spearman,-0.2704474598618254,0.00010743451404949347,-1.0,0.0,0.27044745986182533,0.00010743451404949377,1.1403781426259334,-4.089089362267161,0.07613069243398421,-0.17032021998139266,3.9435822158461575,1960.891698186459,0.0023231007301559854,12.135527364610668,925.0403208730219,9.59893415224601,-1.1180299754874978,0.013066388915930814
balloon,spearman,-0.7603502175388214,5.793093788322308e-39,-1.0,0.0,0.7603502175388214,5.793093788322308e-39,0.562525585182574,-6.481929741185423,0.38588899569356,0.3660410327648847,353660.66872520343,145.25724269518867,-0.0781501794857447,11.784159780220296,1743.5926831138045,15.62920672080787,-0.7252226797011161,0.013317200991278809
bath,spearman,-0.4964200951037041,7.689073735058372e-14,-1.0,0.0,0.49642009510370405,7.689073735058372e-14,0.7445959257522942,-4.756056112210625,0.21078929682918734,0.15582008996872698,74682.29899620615,407.461255970276,-0.023317808282611614,10.388723980757723,1795.704220903706,24.226314053674255,-0.46924302783520705,0.01070480768235796
bird,spearman,-0.4116050722092559,1.403921031882813e-09,-1.0,0.0,0.41160507220925585,1.403921031882813e-09,0.5831992688399147,-5.617017831232152,0.32125374430527565,0.340220624623558,104432.13095590872,624.4579407529721,-0.016299006723633106,11.798885435375796,605.3231463366993,8.60619341988776,-1.187262440937561,0.011812927014277875
bubbles,spearman,-0.7658424530323268,7.887750268187709e-40,-1.0,0.0,0.765842453032327,7.887750268187147e-40,0.7799721334117141,-4.875142500761885,0.24180488385213678,0.15652847490932265,286223.498620381,141.7955647986543,-0.07776218872585265,10.91445283771142,2124.1065435967753,25.77778019148788,-0.44075288218896175,0.013697667612197761
cat,spearman,-0.37766031785573145,3.528182179689993e-08,-1.0,0.0,0.3776603178557314,3.528182179690031e-08,0.659364390336543,-5.347478274962052,0.2962802944739232,0.28603317971721476,151970.7312830001,745.0136732653112,-0.014103717383255238,11.463856255013205,1424.2216906511317,11.340418334648003,-1.0001259823778972,0.011715491611963003
cheese,spearman,-0.6845187829045335,5.429148251957164e-29,-1.0,0.0,0.6845187829045335,5.429148251957164e-29,0.8497218763816051,-4.374654799193646,0.18170883116027964,0.07418802012306124,287619.082944961,190.0705753751672,-0.057566795695298476,10.882325919029967,1276.697445065389,20.108770084048576,-0.557760032655817,0.013130038034640308
cookie,spearman,-0.2704474598618254,0.00010743451404949347,-1.0,0.0,0.27044745986182533,0.00010743451404949377,0.79945118044486,-4.896691340123902,0.28204440848780266,0.16163322881614572,3.8849110040410664,1605.3469201347743,0.001951790460388512,12.477587973897219,1339.0686565305973,14.07286305171755,-0.7851922571385285,0.013990123745002702
duck,spearman,-0.17234120963168803,0.014675759295957184,-1.0,0.0,0.17234120963168803,0.014675759295957184,0.5080114419526721,-6.350695005765106,0.37678975735820286,0.4003305630004955,2.925441922194488,14571.199067447078,0.003280038237990443,13.265751249448986,599.7706716952833,9.379201349477798,-1.098510537818515,0.012917069139475804
ear,spearman,-0.9412343746664278,2.767032915502486e-95,-1.0,0.0,0.9412343746664278,2.767032915502486e-95,1.1835769376791188,-3.932215678889726,0.05688802944052594,-0.23520013667945927,514653.637630701,69.94506482086598,-0.16730763880138919,10.38839457330587,976.5208214921054,12.467353846256762,-0.8743459225379215,0.010619017847808455
hat,spearman,-0.6298054591482273,1.685084331999296e-23,-1.0,0.0,0.6298054591482273,1.685084331999296e-23,0.8679251371682314,-4.726498906729963,0.17460328104974854,0.0333595443532318,119923.14463457024,235.47548574028153,-0.046004500863248525,13.293233580951364,1267.5759832188733,12.935022510825927,-0.8658765078535784,0.012288864724139648
hello,spearman,-0.8851936732692908,1.0052655462870924e-67,-1.0,0.0,0.8851936732692908,1.0052655462870924e-67,263.1907796381032,-1.7748230699658096,-3.4188125874098025,-262.24682225522776,0.3846185258664409,564.9569223547318,0.6295923801847005,20.569135599599626,0.024640995067763675,17.65171843310438,0.10121095373829862,0.018855104583183086
hot,spearman,-0.4704418485725119,2.0797419696297368e-12,-1.0,0.0,0.47044184857251187,2.0797419696297586e-12,0.6672681243836923,-4.717378358138265,0.3023050626487764,0.23882176344174086,318591.28998049145,481.425481688282,-0.02278271715685605,9.130146155232062,826.1552862196834,14.003005780488802,-0.7800213403964301,0.013310823727361129
juice,spearman,-0.35919107095755654,1.7580508167743062e-07,-1.0,0.0,0.35919107095755654,1.7580508167743062e-07,0.665323458259919,-5.549744272432595,0.3119681449260003,0.23434858354994534,13.676598715999123,897.6683563505285,0.0005645606833273235,7.57130512185768,1017.8848272124351,15.633657314128945,-0.6986132256979859,0.01131876564705907
kitty,spearman,-0.35919107095755654,1.7580508167743062e-07,-1.0,0.0,0.35919107095755654,1.7580508167743062e-07,0.4461896092555776,-7.140387962704278,0.4712060834704178,0.3947576479426605,48.15451759031905,816.8766086489592,-0.0012187521634572293,17.85285369000691,2332.51357437573,34.903130380804015,-0.32627175697865435,0.012847884980564633
milk,spearman,-0.37766031785573145,3.528182179689993e-08,-1.0,0.0,0.3776603178557314,3.528182179690031e-08,1.481081532170712,-2.952607127437726,-0.08102634366445617,-0.4926926843275783,10.815988503360737,769.5262663850765,0.00027180762201993116,10.461529553643196,1188.5305495783093,15.562593126500627,-0.7066048756105787,0.012282131525127136
please,spearman,-1.0,0.0,-1.0,0.0,1.0,0.0,1.1334844360388145,-4.023402314681549,0.14443838455945862,-0.14772710001672207,105701.085219804,21.19078523771471,-0.5134726759591716,12.912169083707502,1483.9922627781314,14.6735254492657,-0.7204935225261176,0.01485436942332795
truck,spearman,-0.5087105951931231,1.4620610095402874e-14,-1.0,0.0,0.5087105951931231,1.4620610095402874e-14,0.7667663441576847,-5.405689238846162,0.31274998790763275,0.15663765498332416,225181.52761460067,384.03386361519233,-0.027766940257846748,10.27337900774529,1104.6886482316775,14.411037925218366,-0.764915141135599,0.011641435558167133
up,spearman,-0.24250560864494577,0.0005404946266333874,-1.0,0.0,0.2425056086449458,0.0005404946266333867,0.6372646828611708,-4.392508337572338,0.3605305733251663,0.23278663961095075,303287.1860709838,2388.0851231346323,-0.004268272191522599,4.148821983843044,1038.9562061766649,13.541962355794636,-0.7973025214798366,0.013493931985404996
yes,spearman,-1.0,0.0,-1.0,0.0,1.0,0.0,0.8817528961216242,-4.679266034667473,0.17821555332146335,0.07738468425738877,57520.06915119222,31.05040156820276,-0.34452618537332746,14.000673238527297,0.09007678969373847,9.967089547273778,-0.07732902688484075,0.014779935735944619
go,spearman,-0.24250560864494577,0.0005404946266333874,-1.0,0.0,0.2425056086449458,0.0005404946266333867,1.0612472766637457,-3.970888854027923,0.18661677918005654,-0.11258744815867802,180513.0501746254,2493.042529113694,-0.003956139992635325,7.118331422103512,577.8526123027481,10.947344566744059,-0.9169005572845484,0.014123533115761944
airplane,spearman,-0.749020210529659,3.0047403589234556e-37,-1.0,0.0,0.749020210529659,3.0047403589234556e-37,0.8199934493502197,-5.716455097572076,0.34650236145985375,0.08948594110088927,11225.780807335284,152.9528030933967,-0.05047908038307352,11.308337335679779,1709.7084648035257,19.24376741416901,-0.5872917754607389,0.013382977721875616
bear,spearman,-0.29551384605603553,2.1542785593924844e-05,-1.0,0.0,0.29551384605603553,2.1542785593924844e-05,0.7300607381201478,-4.799634348445478,0.34920510570087365,0.17444210333802257,11.93597727750762,1471.1487317170265,0.0007225391971088939,7.139906509760041,826.6308521009179,12.627009935382072,-0.8405624744097093,0.013340784049435516
bed,spearman,-0.5843819705955934,1.045065115069861e-19,-1.0,0.0,0.5843819705955934,1.045065115069861e-19,1.0178634064238397,-4.871981448437079,0.2714551132377499,-0.08543015226780516,691078.5798658924,295.53564257631496,-0.03884924610673061,7.781456829516938,1204.6645565831202,15.419885718580536,-0.7217697580005537,0.010618881121377969
bottle,spearman,-0.35919107095755654,1.7580508167743062e-07,-1.0,0.0,0.35919107095755654,1.7580508167743062e-07,0.5186103692538743,-6.217243806189784,0.46889869183718375,0.33601189505859286,7.054961930455894,843.3458032990377,0.0007435412960175713,10.837281220622584,1122.7221610278837,16.530358209088767,-0.6594812367643189,0.012308518393819214
bunny,spearman,-0.9994917331289513,2.8016113974862867e-298,-1.0,0.0,0.9994917331289513,2.8016113974862867e-298,0.9237639214157609,-4.114704332938316,0.3103773521720964,-0.014592149784165334,48875.28631490914,39.07526471933907,-0.2596913288363412,15.051119103962105,846.8702715182892,10.546058417808288,-1.0062472126962276,0.015332903723110022
cow,spearman,-0.12216944435630522,0.0848218691267033,-1.0,0.0,0.12216944435630522,0.0848218691267033,0.9814093656516691,-4.086339170315253,0.2557908503113863,-0.042102900990454946,3.1177966109667152,12348.56525237338,0.002036086107427252,13.676647488401565,947.4010994818547,13.505748527574877,-0.7828065280673875,0.014454636628174812
cracker,spearman,-0.5087105951931231,1.4620610095402874e-14,-1.0,0.0,0.5087105951931231,1.4620610095402874e-14,0.6010202243643965,-5.797439692658551,0.38338425803795806,0.24469128019687714,1512583.896884735,402.2663299170106,-0.028617117914160987,14.071577049494213,1872.3779507128459,35.24439640052427,-0.32539637842675484,0.00832406982232904
cup,spearman,-0.532059279758308,5.163410987152791e-16,-1.0,0.0,0.532059279758308,5.163410987152791e-16,0.8753404089071908,-4.955954401824132,0.27397445229233985,0.04599681183949072,349696.80411072576,356.68964889845114,-0.030469247020096762,9.15152346876746,1175.3348899177884,13.44056269909604,-0.8230008221527308,0.012225395011779714
diaper,spearman,-1.0,0.0,-1.0,0.0,1.0,0.0,0.726270925175381,-5.532953214574173,0.3636350381233352,0.19152968405773294,8230.233468318878,24.68959669939031,-0.3622186927259851,17.32285540209629,1329.5316766532922,21.759936976015037,-0.5163540929618371,0.014096616080153553
down,spearman,-0.2704474598618254,0.00010743451404949347,-1.0,0.0,0.27044745986182533,0.00010743451404949377,0.7477953642669328,-4.148490645165437,0.3626373435446092,0.1396610807430792,1002607.2200157586,1668.2395932823226,-0.006802833453316343,4.045479170887278,520.0996334688073,9.291963423768753,-1.1166778996620867,0.012801364049242809
eat,spearman,-0.24250560864494577,0.0005404946266333874,-1.0,0.0,0.2425056086449458,0.0005404946266333867,1.0556754937347717,-4.244646192507452,0.2395321075602529,-0.10954629671927099,117268.71043597633,1884.4169399608274,-0.005125833271374839,8.767138156986169,936.2790828782018,13.805051900624525,-0.7815144033508746,0.013550751794529636
hair,spearman,-0.4116050722092559,1.403921031882813e-09,-1.0,0.0,0.41160507220925585,1.403921031882813e-09,1.039775975902175,-4.360532986385626,0.21196044666759195,-0.10254379605809451,533096.9488420468,656.6824831512113,-0.017232444673766046,8.42318971501442,1072.3763979965238,15.584917485384668,-0.7132643908759491,0.011866275418333053
hand,spearman,-0.5087105951931231,1.4620610095402874e-14,-1.0,0.0,0.5087105951931231,1.4620610095402874e-14,1.0075015231017117,-5.165827704571205,0.3069237608414892,-0.08561819803414654,788193.2201062583,398.2078530410067,-0.028324371048690986,4.793136375363429,379.0676228642567,8.858581791516022,-1.127935132627108,0.01055979320306537
mine,spearman,-0.4836763882713464,4.0134394553764766e-13,-1.0,0.0,0.4836763882713464,4.0134394553764766e-13,0.9972587079204656,-4.416978939672414,0.21696445431683192,-0.09142648110691502,6.6316157120624455,449.76537353163775,0.0001822097606695797,11.955125148088682,432.9392955091428,6.4181519044789415,-1.5699183150877525,0.011966349451110983
more,spearman,-0.21054478912503558,0.002766966030485559,-1.0,0.0,0.21054478912503558,0.002766966030485559,0.8183009325742028,-3.9409150577060466,0.35120150280078477,0.11668005431065401,94967.21782462292,3011.25023944357,-0.0030629328015700703,6.434190073137834,973.0469281047094,15.86675514371965,-0.6793233365876337,0.011767908420940226
mouth,spearman,-0.4836763882713464,4.0134394553764766e-13,-1.0,0.0,0.4836763882713464,4.0134394553764766e-13,1.2459618462485262,-3.5413353813381225,0.14031375411420763,-0.2952947738938983,317092.42738682026,434.6997987154046,-0.024597190612420616,8.23882356108301,787.7217776960449,11.200356032095804,-0.9637604005509599,0.01038368737531317
outside,spearman,-0.24250560864494577,0.0005404946266333874,-1.0,0.0,0.2425056086449458,0.0005404946266333867,0.8550408431883892,-4.561283720638775,0.2828503011535238,0.028968716599144573,81622.82386292618,1968.8134228335448,-0.004864833423959374,10.23957405684179,90.04270785852248,7.202093350673376,-1.2037835802736558,0.01256005700862499
spoon,spearman,-0.29551384605603553,2.1542785593924844e-05,-1.0,0.0,0.29551384605603553,2.1542785593924844e-05,0.9388128599120779,-4.675163463986375,0.24287607000305056,-0.04697337807366736,5.0309102010385915,1562.4131306782397,0.002375780179374207,11.76469469053062,1272.4993317127603,13.722807498321673,-0.8153595145269094,0.011539248872918647
tree,spearman,-0.4964200951037041,7.689073735058372e-14,-1.0,0.0,0.49642009510370405,7.689073735058372e-14,0.8366686271887583,-5.291111649498114,0.33303993284267674,0.07261637671205051,406994.86315373064,421.6768350824088,-0.02676947868604265,9.904804504229025,1124.8337167392187,9.906754094140078,-1.1079557081938696,0.012293038844999885
blanket,spearman,-0.776494091140969,1.4058121631729386e-41,-1.0,0.0,0.776494091140969,1.4058121631729386e-41,0.851348513916735,-5.345446656899783,0.3390880858280719,0.05031925203656888,74481.52493448232,134.661754397507,-0.07448292432514544,12.730200417373908,996.0483571702626,15.605543361684845,-0.6999851813641685,0.013836032205612095
boat,spearman,-0.5205807095032217,2.7585796298495145e-15,-1.0,0.0,0.5205807095032217,2.7585796298495145e-15,0.9527743417765779,-4.3203861169710205,0.30674749602609863,-0.03474057106689998,82299.31246036517,375.2668526621393,-0.02655254397059022,11.129096518561441,1575.2376929027712,18.297229703640404,-0.6088845911552117,0.01233700715223282
bus,spearman,-0.4273202137321925,2.779496134918233e-10,-1.0,0.0,0.4273202137321925,2.779496134918233e-10,0.8953907131052613,-5.267751514711779,0.30981905944708976,0.009002116198644371,572185.6817012161,599.6425107887482,-0.019052125444014596,9.238833665895587,1166.5295085570758,14.004382642288894,-0.7952913700857485,0.012326009776013046
chair,spearman,-0.6298054591482273,1.685084331999296e-23,-1.0,0.0,0.6298054591482273,1.685084331999296e-23,0.8762977448677879,-5.142234533041097,0.3436630313564517,0.02858777323500006,151783.95871944816,231.6401904272909,-0.04582704787970275,11.710206485366761,1061.2227668610185,10.777603640492611,-1.002541122054587,0.011834646167230083
cold,spearman,-0.4273202137321925,2.779496134918233e-10,-1.0,0.0,0.4273202137321925,2.779496134918233e-10,0.8983455356554041,-5.023240828352957,0.350373554005311,-0.001529458523489491,453880.8386933521,616.0300395574948,-0.017660891097530693,7.737208496387576,489.4301024777412,11.265715540633023,-0.9311825436139465,0.011403307656557662
