word,mse_small_child,mse_medium_child,mse_small_medium
push,0.0088608112456803,0.0308014481030884,0.0157063298923063
puzzle,0.0058840042864755,0.0280110020691437,0.0135386165334854
raisin,0.0233600974664722,0.0401542749316048,0.0211569109289795
ride,0.0244980922960151,0.0422381158421851,0.0107810041808992
room,0.0675531826384157,0.0423994138625583,0.0115742008036828
school,0.0270789316576107,0.0488459292959802,0.013334761569035
shower,0.0143979275472554,0.008926783424317,0.0039753741556315
sing,0.0254849262051636,0.020393888053863,0.0059316421734226
sky,0.0190161871096596,0.0345748882095341,0.005993773211253
soup,0.0024447353241271,0.0172836763723206,0.0208838179020919
spaghetti,0.0381817876017144,0.1359645831286619,0.077453924714658
stairs,0.0151693079756895,0.0212036349823212,0.0084545503167168
stick,0.0329841845537063,0.0112221921335297,0.0180993966583028
store,0.0412855302670677,0.0445680028942686,0.0144097522658264
story,0.0077978756200568,0.0398409920268179,0.0223928274025808
stroller,0.0458274267891223,0.0410436453775484,0.0046648445763403
swim,0.0095830645134436,0.015267817824812,0.0031948400463178
that,0.0402216451530507,0.0781006488963654,0.0071957209870287
throw,0.0086377160693778,0.0552577486124101,0.0555393270749082
trash,0.0122819637244031,0.0040414459828946,0.0035705303256351
vacuum,0.0134357378249298,0.0263364725823492,0.0377257497965508
what,0.0197970674071027,0.0712918073464354,0.0196268351950585
you,0.0158045498600644,0.0844119095672616,0.0348725168774002
zebra,0.0413707869630229,0.0402541749058185,0.0018267639979079
work,0.015833296764751,0.0868038059606962,0.0342479971672244
ant,0.018829109052532,0.0113007737083321,0.0076110371445016
applesauce,0.0414931000838941,0.0445171799207992,0.0007159846084095
bad,0.0045474177614478,0.1105083984772883,0.0959161324574459
beans,0.0039975000752589,0.0024485695160621,0.0010796064278962
bedroom,0.1040133231584234,0.0499641913045462,0.0122666560007033
break,0.0319869276685914,0.0310218647038474,0.0011594645507738
butter,0.0449474240859226,0.0634939754027602,0.0021954798916219
carry,0.0625580135462427,0.0318171192665166,0.02001414901142
catch,0.0390835547211643,0.0756410642021227,0.0525712839938178
climb,0.0066135933003105,0.0104446603158669,0.0029189379008826
coffee,0.0500929824470756,0.0115833249354752,0.0178878877397043
comb,0.0137497403296469,0.021981701303606,0.0117782461104093
crib,0.0153759689202915,0.0247460262759317,0.024656446767405
do,0.0656613724799054,0.0628656293269622,0.0003090063104677
draw,0.0141777860418534,0.0391912592539175,0.0081816578401088
dress,0.0217820817961408,0.030427825970928,0.0143754269091925
drive,0.0593114177844526,0.0236545513976776,0.0174932997556479
fast,0.0064945119159829,0.0579213000839456,0.0584064193259733
garbage,0.0044693936579686,0.0339174694499145,0.0329191764266276
give,0.0269492089771289,0.0643851348836613,0.0095078125203768
hamburger,0.0567191854289156,0.0680766204627694,0.001321768594837
heavy,0.0500338099101718,0.0154578420786182,0.0232484815294533
here,0.0083634018193613,0.0715517255678906,0.0423340890951113
hold,0.0507597239048134,0.0140404293653452,0.0247655636432811
knife,0.007615890575029,0.0128142264386304,0.0061739577084003
like,0.0298694853545464,0.0852039824931469,0.0167720814558699
lips,0.0208445155548425,0.0098190310164755,0.0053071663163484
little,0.0220751311677449,0.0553930779767419,0.0097054794198468
motorcycle,0.0267994237008148,0.0082777946987602,0.0175961281343075
now,0.0709873353476605,0.051758594224291,0.0017928942456956
peas,0.0175247001391135,0.0085973813198184,0.0067062768690726
present,0.0566351446266976,0.0194100339710956,0.0286300509507374
refrigerator,0.0282685895267389,0.007484655097297,0.0113980440542383
sandwich,0.0107020445896311,0.0402465692470432,0.0653423124375709
shorts,0.0061297601510989,0.0196664431395096,0.0193329830184397
sink,0.0242463609755479,0.0232548760066826,0.006855678123324
sleepy,0.0383400831410704,0.0477859974307565,0.0738747069796607
snow,0.0094080736893934,0.0067144241470966,0.0049882560448212
splash,0.0136575491993327,0.0574239670651726,0.1110489395120968
squirrel,0.0428540040106369,0.0179595740684311,0.0677308368913784
this,0.0499971613850496,0.0699339326123112,0.0021343107887055
tractor,0.0175909032030455,0.0251964190605854,0.0138179734726938
where,0.0074533384087755,0.0185427952411269,0.0068143742338398
window,0.0384437075231204,0.0083773454888387,0.0235252012717631
zipper,0.0507120512159813,0.0238579221739222,0.0380278450298635
watch,0.0334049406421894,0.0064117957998756,0.0142695208551037
alligator,0.0466998529865883,0.0628852757181836,0.0075124044506242
aunt,0.0113988154495142,0.0308258171338342,0.0383486948798056
awake,0.0123719479832151,0.024816884840945,0.0064277357899151
basket,0.0022045323992474,0.0042655973266637,0.0062584227960232
beach,0.0293157180272102,0.0092325739328201,0.0066586829307764
black,0.0045646604944379,0.0231029546899709,0.0120799973506803
camera,0.0035446412249496,0.0319878493410634,0.0219139814419024
careful,0.0051999498629222,0.0336564466564322,0.0241086286221605
closet,0.0191842805737957,0.0056872830156668,0.0173485590302896
cloud,0.0184838489307519,0.0047303377303614,0.0175401290553811
cut,0.0234686679528966,0.0988908759727726,0.0286575697563345
dark,0.0214748678241478,0.011970913558346,0.0065700459081125
donut,0.0656517807580112,0.0664457997214264,0.0005261594479695
drop,0.0512565104213273,0.0143746716159104,0.0203683766870025
empty,0.0349290537081807,0.0557400168303594,0.0043907865578326
find,0.0665600110863528,0.0626097800594599,0.0001124363740882
glass,0.0090101281761779,0.0077394564271112,0.0016800712163957
have,0.0840465018831279,0.0617361889318227,0.0032490691258221
knock,0.019677397324884,0.0027179369587773,0.0188377818057034
loud,0.0338272287374414,0.0436675039389391,0.0056787830314207
man,0.0298087919035695,0.0950647852880999,0.0193663600030195
morning,0.0359490751707362,0.0443521814486168,0.0100331265482123
muffin,0.0499452725143703,0.0610883109541567,0.0014426964415277
nice,0.0085936031593827,0.0190650920874029,0.0075437229058626
paint,0.0375563077295174,0.0170134344349531,0.004835712544062
popsicle,0.0411696474907438,0.0456340776983461,0.0012806866340706
potato,0.0233868247105049,0.0037257098298878,0.0343803023363804
pull,0.0445697584541825,0.0411540054707037,0.0116746098663433
pumpkin,0.0321184391121333,0.0202988370453905,0.0214588613718781
purse,0.025025075886908,0.0163013514778976,0.0125645745863153
sad,0.0254405080408935,0.0042479768810519,0.0218290174233841
scared,0.0211199982492117,0.029348986248347,0.0162098476546148
scissors,0.0247439452262594,0.0111316624001523,0.0252726050087861
share,0.0075176861687331,0.0284037484803282,0.0120252746290549
shopping,0.0160375276359358,0.0239953082268748,0.0053106569025965
shovel,0.0246855619965126,0.0471080384858199,0.0243766356661886
stand,0.051883990839742,0.0059205105157876,0.0297468544132702
street,0.0600071207980579,0.041651294648268,0.0081136711106868
stuck,0.033822872157606,0.0484865959170077,0.0173058049764847
sweater,0.0201542400387324,0.0403256493577921,0.0988566370736021
talk,0.0201910183667286,0.0881067326735585,0.0299401861467523
tape,0.0173606658373463,0.0596586142288135,0.0208528368040306
there,0.0241390337285754,0.0936070564958021,0.0251799257381856
thirsty,0.0305680556109775,0.007007522733306,0.0343189220785028
tired,0.0231354397900064,0.0190824450801022,0.0184581376476893
too,0.0390109492919318,0.0452600838455964,0.0004732328108284
touch,0.0161827416328726,0.0079373043172393,0.0128906326962252
wait,0.0529966746131983,0.1683917782539023,0.0443117849931072
white,0.0049500325506505,0.0480350378701767,0.050712805606113
why,0.0189356295329157,0.1248861122984228,0.0523393300676228
wind,0.0461237967533876,0.0304997741368856,0.0129677192995269
wipe,0.0078370107152167,0.0061156783030364,0.0086143965416072
zoo,0.0152167236727943,0.0074357249352151,0.0038463486389546
a,0.0970275855460138,0.0978245833844386,0.0002535923315841
all,0.0407487221436286,0.077865042793899,0.0064726996846201
and,0.0804549445536321,0.1366192516628698,0.0079658068868835
another,0.0460810023117214,0.1150563298308295,0.0161484626236017
at,0.0742219796622488,0.1149411396799505,0.0045722184873629
away,0.0055364991921597,0.0571405193589666,0.0419553482006396
back,0.0256968936893316,0.056799130928234,0.0077767661930867
backyard,0.0553447477428412,0.0637852774042634,0.0014645362297939
bat,0.0312813773330071,0.0344830878409039,0.0005201544741018
belt,0.0285408724640707,0.068968861048527,0.0116841007441366
better,0.0092900652829085,0.0679331071702391,0.03720645781129
bring,0.0510485165154293,0.0992291432307838,0.0088132682960389
brother,0.0240429597049435,0.0606233050199349,0.0127162087649017
brown,0.0407649273550355,0.0267753117896784,0.0027567397829016
bucket,0.0296546725043536,0.0291218897651873,0.000387652442156
build,0.0198768795560238,0.0435783717415911,0.0066523447150963
bump,0.0051925435850897,0.0256689680876825,0.0339918348563881
buy,0.0208171433319917,0.1125530662285117,0.0403432766966327
can,0.0746188480078638,0.1017656529305297,0.0024730700261005
chalk,0.012946311779417,0.0285414085691044,0.0677001785909936
chase,0.0149649431551196,0.0341349694691512,0.0389774234171115
clown,0.032267887119646,0.0172611618612568,0.0509460444672864
cover,0.0245277275964821,0.0816245106627977,0.0200680667611924
cute,0.0181523418081913,0.0192382791737034,0.0015618864205081
day,0.0289683025308513,0.0942058497775003,0.024278422054017
deer,0.0112262330841752,0.0094773404676007,0.0265668602238175
dish,0.0115448968683861,0.0285471060585607,0.0055573765513638
donkey,0.0221635377263499,0.0240522598258186,0.0101810284149772
drawer,0.0244511158412736,0.0627570247785255,0.0411633045045048
dry,0.037462345794722,0.01908086787114,0.0065105098912785
dryer,0.0497237997782776,0.0912678794700933,0.0206113720340342
farm,0.018813856131988,0.0435205936361211,0.0083273395781774
feed,0.0417745857666288,0.0170242253278174,0.0094541890906524
finish,0.0767100363572517,0.0421186455570054,0.0315637936983004
first,0.0910001841748478,0.130402762956538,0.0036942893756805
fit,0.1176138360597068,0.0841988305746805,0.0179169382772958
flag,0.0463104215762313,0.0263817832439298,0.0176159964957533
for,0.0991248711226155,0.1909823265225697,0.0154439970325754
friend,0.0037375226380163,0.0283906239763647,0.0270870766443663
full,0.0195911614299062,0.0452902162129606,0.0153501982438574
game,0.0074354096528132,0.055058155771522,0.0276779969802383
garage,0.034413405337975,0.0169049855006909,0.0075905014804739
garden,0.0363075447464914,0.0727236959189284,0.0137149381423582
gentle,0.0047866451466038,0.0453120837717869,0.0343180432185003
gloves,0.0097516793213682,0.0497052152854178,0.0886258081007859
goose,0.0319735888631854,0.0517236025912177,0.0305413252227042
gum,0.0286636489368141,0.0116112935987496,0.0057018888701122
hammer,0.0180141803308832,0.0092159032371141,0.0030582632859644
hard,0.0253256273045442,0.0623849689460564,0.0110933052504417
he,0.0423358114364724,0.1870942688667397,0.0545968909552987
hear,0.0142237557204949,0.0671569153235735,0.0243077501143779
high,0.0145635025928822,0.088709867654105,0.0345754692061462
hose,0.0202135020530394,0.0595460080075297,0.0294875396367856
hurry,0.0310100452466308,0.1145174249763105,0.0421995922822746
is,0.0665724336006968,0.1059625317193005,0.0047594390436673
it,0.0756722417494392,0.0627946275270945,0.0023971487256803
jeans,0.0198463655451713,0.0226168924314817,0.0525355799498296
jelly,0.0429126691483069,0.0110501074036119,0.0660267749008721
ladder,0.0125413580126125,0.0706652712069635,0.0341923080884446
lady,0.0176648650696472,0.0960474805673088,0.0560859705815356
lamb,0.0208014376618776,0.1025530399762894,0.124829358448723
lamp,0.004729659047006,0.1046707683340726,0.1200372828899839
later,0.0673967029321297,0.0416464767250182,0.0255576593285971
lick,0.0580738992846925,0.0260187985175334,0.1085722641316616
listen,0.045658472749886,0.0656562369635068,0.0027453609800979
lollipop,0.0737841830810336,0.0769370567876231,0.0004058316473853
mad,0.1760060274778437,0.8103344837181737,0.2515128512803239
make,0.0818409700430438,0.1002671916548074,0.0017187192401692
meat,0.0347312396488094,0.018424841424539,0.0076132167506638
melon,0.049765012344061,0.0608703564315633,0.0019851653161259
mittens,0.0296236675451346,0.0374724793565434,0.001782220192276
movie,0.0672115303980569,0.0402741360238966,0.0178250321492301
nail,0.0334301416734798,0.0096592064685657,0.0083045800481273
necklace,0.0198375100923752,0.0219552177366168,0.0224756671506807
new,0.0589821297407967,0.1015387676791187,0.0059656047454789
noisy,0.0071656839710388,0.0317542913383905,0.0356026991982152
not,0.1048748046886733,0.1432229780636058,0.0030757437394575
nuts,0.0171077916927863,0.0405988109547206,0.0175645181915077
oven,0.00462708260524,0.0259150605646218,0.0141777901117743
over,0.0396323766542531,0.0665940231505425,0.0057088617044893
party,0.0746823277518265,0.0577231313776744,0.0101459980342264
pencil,0.0144377716585829,0.0159926819152002,0.0048106880601958
penguin,0.0542265669335666,0.0645482382197278,0.000861833993853
penny,0.0617642927068685,0.0675913011994708,0.009626753194476
people,0.0337757568693424,0.0731344238178904,0.0081772831610594
pick,0.0296213782475636,0.0835935680165819,0.0155220041194523
pickle,0.057769266306737,0.0648829235461814,0.0025158296577666
plant,0.0429308067103962,0.0292313293958478,0.0193605953004633
playground,0.0403132738670599,0.0064237400520164,0.0179636590377311
police,0.0298703969715564,0.1233321181830378,0.0337411208262124
pony,0.02071027163128,0.0166485119499613,0.0249134948703202
pour,0.0575463248131829,0.1829728192268586,0.0556430384684883
pretty,0.0116986802040248,0.040634361968299,0.0110565570020907
pretzel,0.0557813802448661,0.0588582743247857,0.0014111104019292
put,0.0253922873568728,0.0662753277238338,0.0108224149370179
quiet,0.0571726714080448,0.0094950350522957,0.0233984933339508
radio,0.0529712097192721,0.057913387608438,0.0091845523434653
rooster,0.054171553410546,0.0518099164692786,0.0017950511397409
salt,0.0872087676882729,0.0615993057926793,0.0032222683061807
sandbox,0.0192203274786541,0.0050775076107109,0.0309806089225498
sauce,0.0222696356446951,0.0354366691378257,0.0033882913493906
say,0.1296970063757662,0.0106848772999645,0.0749389181398747
shake,0.0573034132044934,0.0112017619011859,0.0403037327712106
shoulder,0.0241503390799165,0.0363129168348565,0.0101333602498535
show,0.0418198784789776,0.0569076575086349,0.001370907393398
sick,0.033139652581337,0.078167643734266,0.0225302199468256
sidewalk,0.0275925812524536,0.0249502594769842,0.0014119049989695
sister,0.0230829014850537,0.0251369769723643,0.0062251540565659
slow,0.0770514214093616,0.0820037083885296,0.0074655716126733
smile,0.0397330209963671,0.1087162879066712,0.0342783785145582
snowman,0.0608199671655764,0.0456105588326582,0.006023092589611
soft,0.0450588174407461,0.031127410142749,0.0306138253997209
some,0.0555721014368356,0.0543160319261997,0.0022411238647586
spill,0.027522342213812,0.0074129768500281,0.0082755612984932
stay,0.0046332244433077,0.0384973534352473,0.0312687922833224
sticky,0.0364920415641941,0.0449326322633759,0.014939453277279
stove,0.0219811489653791,0.0229343301014708,0.0030065824987845
sweep,0.0179424140290673,0.0348471737766501,0.0578270204336273
take,0.0691080721178427,0.1481286711953991,0.015564939853582
taste,0.0413417645783513,0.0661229254213783,0.0210318196984528
teacher,0.0396405758459221,0.0358072160006821,0.0039819739647755
the,0.0963540933157301,0.1779761420226264,0.0136230236663663
to,0.0856390235927709,0.1150926479429928,0.002329703118048
turkey,0.0944439080609937,0.0277312055730741,0.1635932549897684
uncle,0.1104002160899102,0.1303587758969814,0.0140887960251515
under,0.0437000965653584,0.0512195813945316,0.0003889480835626
vitamins,0.0461882754706891,0.0075562457827884,0.0208246815277144
wake,0.0182065766491813,0.0250830237464947,0.0079920045351914
who,0.0728159957641376,0.1173900970727325,0.0061254117710078
windy,0.0517999176593884,0.0835956615710238,0.013392297328139
with,0.0985194460170775,0.1469348271109841,0.0050036204244642
wolf,0.0179158552965496,0.1237488319728152,0.0928742364881464
write,0.0384553372662517,0.068587229529009,0.0051320544518766
yard,0.057006508161274,0.0412150491701638,0.0066163183074057
am,0.0136075215060964,0.038296327297679,0.0091734056802716
she,0.0213025058372263,0.0521102969254695,0.0085186437890974
today,0.031897982846288836,0.03645399821664175,0.0026283199050263955
