word,corr_type,r_child_surprisal,p_child_surprisal,r_child_attention,p_child_attention,r_surprisal_attention,p_surprisal_attention,child_L,child_k,child_x0,child_b,surprisal_L,surprisal_k,surprisal_x0,surprisal_b,attention_L,attention_k,attention_x0,attention_b
baby,pearson,-0.17433307207367643,0.01355198726845869,-0.7587499968038343,1.0252897989816743e-38,0.3778650559669677,3.4639556555911974e-08,1.2912993136139495,-3.6532258043232577,-0.1706356307430106,-0.3348866207668924,508.8001243651481,4486.551899391014,-0.0010878873812184258,11.802644348875125,308.443290639948,15.254710235608306,-0.6497813989172824,0.016630938820077094
ball,pearson,-0.18680198834884923,0.008083186099030701,-0.7256694829327885,5.474339368711431e-34,0.4347509494260111,1.254787676205409e-10,0.3655177103563006,-6.2913058267473545,0.06545811872357475,0.5944702994894073,641.1582968094981,5838.038116085664,-0.0007892475397131161,8.841861610281198,263.46337510936013,20.792747181862193,-0.47527687719329414,0.015053535307856893
banana,pearson,-0.42832173491359155,2.4997738463031973e-10,-0.690156236195397,1.2579038136657958e-29,0.8667918533819405,9.582307446677847e-62,0.7574959528804296,-4.220465352239603,0.12592799001467408,0.2136277652439943,168868.55200464564,49.01388445568105,-0.22059506624290198,10.808611355733474,349.19144133750814,16.258426226709627,-0.6085931378246419,0.013892337066092907
book,pearson,-0.16120497152899027,0.022582297223068412,-0.7455484629709219,9.661106024304655e-37,0.3638942342218954,1.179101200067119e-07,0.9128225964769754,-3.7231309711599354,0.003103518607322449,0.04659179678332209,804.9058410198236,4855.931625335186,-0.0009690195733888724,8.399857149650114,446.35984496704407,14.051432375463145,-0.7221524764778974,0.014894326428643275
bye,pearson,-0.5809191712398354,1.9244985919454574e-19,-0.772426369748213,6.71537006348741e-41,0.932206796655094,2.4544629400157236e-89,1.077342593681895,-3.77204074515669,-0.28180791985516856,-0.1125606388309286,22450.471034086448,34.21223504734747,-0.27000458816473705,13.944959492863497,541.0158501269032,15.938394079419359,-0.6292623860174662,0.01065324889946362
dog,pearson,-0.12836564378754273,0.07006547236934196,-0.5745726632253438,5.784094329315658e-19,0.41258746213444575,1.2718283005937298e-09,0.3719627143628972,-4.795649387017753,0.3350967699631098,0.5982317573926033,647.8579647100948,5826.082860248773,-0.0008342488087610716,10.361476334648767,199.43693009047945,18.507703076962713,-0.5205369009973463,0.015835677045392998
hi,pearson,-0.9121978287482267,1.1784267467862166e-78,-0.9154480956292239,3.318876865897914e-80,0.7487898583683756,3.248766973978659e-37,0.35786998192124064,-5.773851245545752,0.4012459971852386,0.5830609591290714,0.19224885449990714,96.826173692662,0.49386925402168624,20.8404590142784,849.5948617022901,4.100315477895905,-2.636144406434219,0.015695806521180022
no,pearson,-0.17000485139931795,0.016097054962515057,-0.756106271070603,2.607687632102975e-38,0.37434602977830217,4.741837773494989e-08,0.733407136050769,-4.138536728137249,-0.018907153617705744,0.23485794842164037,1262.59233756757,6228.622015737638,-0.0008030549335361325,7.671677979559683,575.5407135835574,14.945975210712701,-0.6881011434827137,0.017331615715836895
shoe,pearson,-0.768834766933046,2.600789284339143e-40,-0.750130625303095,2.059759437420094e-37,0.9993262730491677,3.6369778567900275e-286,1.8594829491604363,-3.7771415321868065,-0.2685895136199267,-0.9016001022547755,5366.379505348221,16.070033620707974,-0.5357107875692918,15.634736514919615,63.27242616281566,17.307708202363063,-0.5046687268927509,0.014377378015689387
car,pearson,-0.16822331672598725,0.01726012425247761,-0.7449371277956727,1.1843791385018584e-36,0.37733931031182993,3.631195700489319e-08,1.345006144791127,-3.842025589870344,-0.051294641134974665,-0.3693810876472912,716.7507338279967,3780.072693674374,-0.0012797025433964227,9.33406815132755,242.40195694203757,15.208486375085283,-0.6385185085381687,0.014874308716699263
eye,pearson,-0.15496330446637363,0.028449760326130936,-0.6121213444443494,5.969485909340402e-22,0.4505463054193028,2.1676017949177456e-11,0.7716757149243524,-5.19465534643211,0.17667278048007348,0.17862054012282053,1063.6250660164928,5125.669554482491,-0.0009293807862451518,6.27009739305842,287.80535218013284,22.527778379492922,-0.44450275029439457,0.013528813632256843
meow,pearson,-0.21791016092791357,0.0019369385059846357,-0.654013302014412,8.646800315292739e-26,0.5656849593184354,2.5965762677920734e-18,0.68224044517225,-4.7644883481377125,0.18491092156410557,0.2625593207996421,397175.78820697573,205.45490731420435,-0.05199647533988069,18.589605433375734,428.94948670268946,18.113794841138194,-0.5536415613050609,0.014534577965029952
nose,pearson,-0.4821509486108657,4.869054035060765e-13,-0.6655367829406776,5.909541977171724e-27,0.9325730119977362,1.4623417667811682e-89,1.0859377568087163,-4.037470552674172,0.02676234683431625,-0.1353839322563679,134332.88054795368,42.234026932726664,-0.2559158902361193,11.412360081000203,203.74403470821852,19.72668368331041,-0.4927996073333927,0.01502930015464374
apple,pearson,-0.15867593085476117,0.02482029960306036,-0.7134291962767038,2.0718110852281302e-32,0.38179389940008684,2.428823163107075e-08,1.1403781426259334,-4.089089362267161,0.07613069243398421,-0.17032021998139266,541.8696152722032,4037.678531828298,-0.0012413597657739198,11.775464525317707,377.0025040740397,15.603598841908989,-0.6456892762330906,0.015039279084030242
balloon,pearson,-0.39849127537324347,5.094194235887273e-09,-0.5781076498550959,3.1427907610555987e-19,0.9312929606704974,8.825331487316686e-89,0.562525585182574,-6.481929741185423,0.38588899569356,0.3660410327648847,188902.25659782407,35.3658302870726,-0.3098631159326667,10.950384991914348,189.51833350687158,16.38922322719612,-0.5701020813879485,0.01573210386975403
bath,pearson,-0.14667564500484453,0.038216281016190304,-0.6245264963102397,5.0058624478314716e-23,0.420658733370714,5.578942639302106e-10,0.7445959257522942,-4.756056112210625,0.21078929682918734,0.15582008996872698,1034.370931971801,4498.793407526313,-0.0011423536757686772,9.919989898719273,317.67983727442277,19.320157525987636,-0.5081618767491003,0.011555564565015664
bird,pearson,-0.13095990198459415,0.06454267979133624,-0.5816642893848633,1.6885878967361662e-19,0.41687329068979984,8.233381934641758e-10,0.5831992688399147,-5.617017831232152,0.32125374430527565,0.340220624623558,652.6192666703596,3647.208999830431,-0.0013674489387141726,11.345247532338211,219.30716310638954,18.93651547793318,-0.504333937201464,0.015865732479556055
bubbles,pearson,-0.4053320735128624,2.6188922510649683e-09,-0.691867476725859,8.01653431622082e-30,0.8451706298550494,9.085496039314451e-56,0.7799721334117141,-4.875142500761885,0.24180488385213678,0.15652847490932265,151692.1469723332,47.68679207236426,-0.222190039039979,10.367079810056214,400.120954491525,14.327445928366682,-0.6908210159783668,0.014223770930980914
cat,pearson,-0.13499866857050372,0.05665841416582617,-0.9377966333627936,6.482462555506933e-93,0.21900494233058942,0.0018351116804664572,0.659364390336543,-5.347478274962052,0.2962802944739232,0.28603317971721476,667.9636183371116,5936.042992969806,-0.0008299234738446324,11.232593322186926,304.01632253389084,4.5506869055392265,-2.270214957582475,0.014077348975178922
cheese,pearson,-0.19459045829042948,0.005760368757324974,-0.6998221375436753,9.468245577183232e-31,0.4763182853093098,1.0105183950330382e-12,0.8497218763816051,-4.374654799193646,0.18170883116027964,0.07418802012306124,189346.2787841402,262.6211094705879,-0.04113924329423118,10.597278993406478,207.11446210283637,14.714083405103118,-0.6576041410734462,0.01359408988406457
cookie,pearson,-0.17917547833211994,0.011129101599072159,-0.6066860515779975,1.7092661967876063e-21,0.5223814644430566,2.1297364167751213e-15,0.79945118044486,-4.896691340123902,0.28204440848780266,0.16163322881614572,190703.511258066,262.442744560482,-0.041877408356648965,12.017306852343433,272.8301150154701,18.239423769125654,-0.5285049087996083,0.01591269170884354
duck,pearson,-0.9911428161709835,1.413490209488894e-175,-0.6133345260282967,4.7071080242065075e-22,0.6791294045476663,2.131081975378019e-28,0.5080114419526721,-6.350695005765106,0.37678975735820286,0.4003305630004955,898.2687653605769,1.2001099713542436,-5.484481899203345,12.176341210482995,248.04716609033738,14.763648218515101,-0.6572658739195611,0.015235380269298897
ear,pearson,-0.502731460488782,3.3058709901872076e-14,-0.6381608442408697,2.879794238708604e-24,0.9625976772231447,2.9970778668738334e-114,1.1835769376791188,-3.932215678889726,0.05688802944052594,-0.23520013667945927,147872.15625514562,36.339685891993355,-0.295859941731062,9.621482892316239,197.6876100806796,20.77003696919799,-0.4662054759932567,0.01333813903818784
hat,pearson,-0.5040259960206603,2.7743275398478957e-14,-0.7882562223246958,1.2614731273825754e-43,0.8664256352174031,1.2338337303584846e-61,0.8679251371682314,-4.726498906729963,0.17460328104974854,0.0333595443532318,88090.93491563729,33.589921687419476,-0.3111898162877468,12.10181420219297,220.569029783835,11.090322193171835,-0.8842848105796371,0.014898617998526832
hello,pearson,0.160067370947909,0.02356648060345448,-0.9416058432137473,1.5046256384084612e-95,-0.16429203491858882,0.020088236053410397,263.1907796381032,-1.7748230699658096,-3.4188125874098025,-262.24682225522776,746.7053428884597,-4044.384211049756,-0.0011712314130452592,-725.1365818346084,0.021823902950919908,12.749637287768543,0.20971309894153733,0.019452173605251165
hot,pearson,-0.13298468478635656,0.060484432233554646,-0.5600941006850482,6.5270528193504856e-18,0.4351422547454536,1.2026751231381059e-10,0.6672681243836923,-4.717378358138265,0.3023050626487764,0.23882176344174086,943.4014821574575,5571.6159851477,-0.0009097203224975159,9.00896805401728,332.4882604375137,20.83449371018488,-0.48490275003847305,0.014321772676615935
juice,pearson,-0.13253902534002188,0.0613591622101458,-0.5826044702761677,1.4310487124982963e-19,0.4199509996204414,6.002236887892682e-10,0.665323458259919,-5.549744272432595,0.3119681449260003,0.23434858354994534,1456.2702666893476,5922.569640288589,-0.0008538728447568468,7.372207677300918,254.5786837605659,19.248023555675733,-0.5097158915476899,0.01250389503689325
kitty,pearson,-0.10206658857080818,0.15039135269280535,-0.48055594969957566,5.953275853707004e-13,0.41356847116671414,1.1519561791012248e-09,0.4461896092555776,-7.140387962704278,0.4712060834704178,0.3947576479426605,2675.1852146699025,10118.570777303927,-0.0005067410678486073,17.044007951877767,429.6087432342696,18.60499843011879,-0.5412105997262178,0.014226680962720019
milk,pearson,-0.5684368982647936,1.6389452743855617e-18,-0.689077909251151,1.6681916108372195e-29,0.9724440648204183,3.563157208749618e-127,1.481081532170712,-2.952607127437726,-0.08102634366445617,-0.4926926843275783,52496.70152503327,25.784902172038205,-0.38733766930665753,9.914328418902507,385.95125042149925,15.973839734885438,-0.637152549043284,0.01403061431368563
please,pearson,-0.6020502186941377,4.126880252339554e-21,-0.6724201573962336,1.1231023642338063e-27,0.9914946705829926,2.5994996954279683e-177,1.1334844360388145,-4.023402314681549,0.14443838455945862,-0.14772710001672207,4.326526599603329,32.59888723434944,0.02762822119232096,11.616555818821492,967.9601722711787,16.4982484307146,-0.6194030485598742,0.017805093060262716
truck,pearson,-0.33058441519718074,1.7444977861831082e-06,-0.657680313759684,3.7288348275440466e-26,0.781050810957193,2.3439477905170263e-42,0.7667663441576847,-5.405689238846162,0.31274998790763275,0.15663765498332416,240654.3262423761,63.42091900115253,-0.1747858815816338,9.77835988618544,239.88258945788832,14.467265250287602,-0.6786248203487334,0.013438524094814469
up,pearson,-0.12485567434312539,0.0781440407371204,-0.5493384915099434,3.664475949682418e-17,0.42064611525144713,5.586229961599999e-10,0.6372646828611708,-4.392508337572338,0.3605305733251663,0.23278663961095075,2278.0143057345635,6434.484384930969,-0.0008047634187539207,3.8561464043071974,463.1121456903517,19.318701717843542,-0.5219285120174609,0.015391399380132842
yes,pearson,-0.6597634261307506,2.300324211772162e-26,-0.7891824624723605,8.593138110968972e-44,0.9719938134489023,1.7340507128739363e-126,0.8817528961216242,-4.679266034667473,0.17821555332146335,0.07738468425738877,10293.08422664154,17.774757190109536,-0.5347890482948151,13.839093071022535,594.9257438351115,10.92712969924618,-0.9326175005994406,0.01801963006517683
go,pearson,-0.14466598304355907,0.04097072106935402,-0.5563855006665441,1.1916120626749903e-17,0.4659738838235014,3.5675836058567304e-12,1.0612472766637457,-3.970888854027923,0.18661677918005654,-0.11258744815867802,812.0865247015123,4251.545137314541,-0.0010527426690313544,6.691761653613899,570.9970959429434,24.312735599567567,-0.4141134067616641,0.016678235463445313
water,pearson,-0.13613150972800497,0.054595648448259135,-0.5704369187094254,1.1699213359528106e-18,0.4345755392979951,1.2788529025015854e-10,0.8722591399450073,-4.508228847957613,0.27624331276421643,0.055394425228202634,1349.7033906327401,3799.9088075984955,-0.0013597669309989135,7.226943016830684,263.4557926725932,20.774034282034453,-0.4726369004031404,0.014314996373197813
airplane,pearson,-0.4335384363781523,1.4305530844671912e-10,-0.6547377409522042,7.329825757019427e-26,0.9093404763966446,2.4280832769113583e-77,0.8199934493502197,-5.716455097572076,0.34650236145985375,0.08948594110088927,255060.40240743023,33.35483255472173,-0.3313184967825619,10.17800668310986,346.6123434993175,13.652776095128212,-0.7358135385097724,0.014952800806194922
bear,pearson,-0.12635505533541053,0.07460545280573916,-0.5736623980143521,6.75985652891836e-19,0.40808197415994646,1.9957538297638157e-09,0.7300607381201478,-4.799634348445478,0.34920510570087365,0.17444210333802257,1300.0426486957128,6362.037368070955,-0.0007896222646682231,7.031916463333616,404.2767010169294,18.063379159667832,-0.5533540040257058,0.015946259957431343
bed,pearson,-0.1379357120897902,0.05143900534735893,-0.5795698385457942,2.4366735349825654e-19,0.4334290920193058,1.4475287429848451e-10,1.0178634064238397,-4.871981448437079,0.2714551132377499,-0.08543015226780516,1984.3631559022422,2956.3579335999525,-0.0018464017286648165,7.258043505025093,314.0799496830842,20.651556691948944,-0.48353633878676405,0.012763010367307348
bottle,pearson,-0.47896977605697877,7.263350677706752e-13,-0.5259197362289838,1.2752817910274826e-15,0.9955833252199612,2.1199503096391297e-205,0.5186103692538743,-6.217243806189784,0.46889869183718375,0.33601189505859286,52375.22479444821,19.6103649164875,-0.5015626794761161,9.640208551064479,267.540951202118,16.215599391204318,-0.5956763350533613,0.013180212903695865
bunny,pearson,-0.4697157711229151,2.2715750462092246e-12,-0.7280377785428882,2.6492318674054393e-34,0.8854900252009272,7.902559950445184e-68,0.9237639214157609,-4.114704332938316,0.3103773521720964,-0.014592149784165334,49308.83886164771,29.379446180302207,-0.3361340362713142,14.834928345857632,171.95528962395662,10.61407513408646,-0.8684429805370504,0.016426990173240973
cow,pearson,-0.5553023422552964,1.4186471062584888e-17,-0.6259340439457274,3.7521635294013534e-23,0.9906438272772168,3.1346409673167563e-173,0.9814093656516691,-4.086339170315253,0.2557908503113863,-0.042102900990454946,4491.235273193049,22.21953150845821,-0.3890875018667978,13.037724833361692,328.96174673887276,16.843429129849426,-0.5878989665016953,0.017425038626394156
cracker,pearson,-0.12022003326087735,0.08994902080671262,-0.5217819096379473,2.321717691052473e-15,0.4333964734865889,1.4526304717715844e-10,0.6010202243643965,-5.797439692658551,0.38338425803795806,0.24469128019687714,2107.3607570284626,4004.930479895478,-0.0011693207139785303,13.82146500534036,483.0709352701415,20.64798964637902,-0.4923821117097068,0.009113248094460274
